"","f1","f2","f3","f4","f5","f6","f7","Course","Intervention","Gender_group","Raceethnicity_group","Education_group"
"459",0.214285714285714,0.0666666666666667,-0.5,0.166666666666667,0.5,0.666666666666667,0.5,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"460",0.285714285714286,0.0666666666666667,-0.25,0.166666666666667,-0.1,-0.5,0.833333333333333,"PHY105N","Partner Agreements","Other","SD","Not1stGen"
"461",0.0714285714285714,0.6,-0.5,-0.166666666666667,0.2,0.166666666666667,0.666666666666667,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"462",-0.214285714285714,0.866666666666667,0,0.0833333333333333,-0.2,-0.166666666666667,-0.166666666666667,"PHY105N","Partner Agreements","Man","SND","1stGen"
"463",0.0714285714285714,-0.0666666666666667,0,0,0.2,-0.333333333333333,-0.5,"PHY105N","Partner Agreements","Man","SD","Not1stGen"
"464",0.142857142857143,-0.333333333333333,-1,0.0833333333333333,0.5,0.166666666666667,0.5,"PHY105M","Partner Agreements","Man","SD","Not1stGen"
"465",0,-0.333333333333333,-0.25,0.0833333333333333,0.5,0.833333333333333,1,"PHY105M","Partner Agreements","Man","SD","1stGen"
"466",0.142857142857143,-0.2,-0.25,0.333333333333333,-0.2,0.333333333333333,0.333333333333333,"PHY105M","Partner Agreements","Woman","SD","Not1stGen"
"467",0.142857142857143,-0.0666666666666667,-0.5,0.166666666666667,0.2,0.166666666666667,0.5,"PHY105M","Partner Agreements","Woman","SND","Not1stGen"
"468",0.142857142857143,-0.2,-0.5,0.166666666666667,0.5,0.166666666666667,0.833333333333333,"PHY105M","Partner Agreements","Man","SND","1stGen"
"469",0.214285714285714,0.466666666666667,-0.25,0.166666666666667,0.4,0.666666666666667,0.333333333333333,"PHY105M","Partner Agreements","Woman","SD","Not1stGen"
"470",-0.0714285714285714,-0.333333333333333,1,0,0.7,0.333333333333333,1,"PHY105M","Partner Agreements","Man","SND","Not1stGen"
"471",0.428571428571429,-0.0666666666666667,0,0.166666666666667,0,0.333333333333333,0,"PHY105M","Partner Agreements","Man","SD","Not1stGen"
"472",0.428571428571429,-0.0666666666666667,-0.5,0.166666666666667,0.6,0.666666666666667,1,"PHY105M","Partner Agreements","Woman","SND","Not1stGen"
"473",-0.142857142857143,-0.2,-0.25,0.25,0.5,0.166666666666667,0.833333333333333,"PHY105M","Partner Agreements","Man","SD","Not1stGen"
"474",-0.214285714285714,-0.2,0.75,0.25,-0.2,0.166666666666667,0.833333333333333,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"475",0.285714285714286,-0.2,-0.25,0.0833333333333333,0.6,0,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"476",0,-0.6,-0.25,-0.25,0.1,0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"477",-0.142857142857143,-0.333333333333333,-1,0,0.6,0.166666666666667,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","Mixed","1stGen"
"478",0.142857142857143,-0.2,0.5,-0.166666666666667,0.5,0,0.833333333333333,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"479",0.142857142857143,-0.333333333333333,-0.25,0.0833333333333333,0.4,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"480",0.214285714285714,-0.333333333333333,0.5,0,0.7,0.333333333333333,1,"PHY105M","Collaborative Comparison","Man","SD","1stGen"
"481",0.428571428571429,-0.333333333333333,-1,0.166666666666667,0.6,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Man","SND","1stGen"
"482",0.285714285714286,-0.733333333333333,-0.5,0.166666666666667,0.5,0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"483",0.214285714285714,0.2,0.25,0,0,0,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SND","1stGen"
"484",0.285714285714286,-0.333333333333333,-0.25,0,0.6,0.166666666666667,0.833333333333333,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"485",0.5,0.2,-1,0,0.7,-0.166666666666667,1,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"486",0.285714285714286,-0.333333333333333,-0.75,0,0.3,0.5,0.333333333333333,"PHY105M","Control","Man","SD","1stGen"
"487",0.285714285714286,-0.0666666666666667,0,0.166666666666667,0.1,0.333333333333333,0.5,"PHY105M","Control","Woman","SD","Not1stGen"
"488",0.285714285714286,-0.333333333333333,-1,-0.166666666666667,0.3,0.166666666666667,0.333333333333333,"PHY105M","Control","Man","SD","Not1stGen"
"489",0.214285714285714,-0.333333333333333,-0.75,-0.0833333333333333,0,0.166666666666667,0.833333333333333,"PHY105M","Control","Other","SND","1stGen"
"490",0.285714285714286,-0.333333333333333,-0.75,-0.0833333333333333,0.6,0.166666666666667,0.333333333333333,"PHY105M","Control","Man","SD","Not1stGen"
"491",0.285714285714286,-0.333333333333333,-1,0,0.8,0.333333333333333,0.666666666666667,"PHY105M","Control","Woman","SD","Not1stGen"
"492",-0.214285714285714,-0.2,0,-0.25,0,0,0.5,"PHY105M","Control","Woman","SD","Not1stGen"
"493",0.5,-0.2,-0.75,0.25,0.2,0.166666666666667,0.166666666666667,"PHY105M","Control","Woman","Mixed","Not1stGen"
"494",-0.142857142857143,-0.2,0,0,0,0,0,"PHY105M","Control","Man","SND","1stGen"
"496",0.214285714285714,0.0666666666666667,0.25,0,0.6,0.666666666666667,0.5,"PHY105M","Control","Woman","SD","Not1stGen"
"497",0,0.2,0,0,0,0,0,"PHY105M","Control","Woman","SND","1stGen"
"498",0.285714285714286,-0.0666666666666667,0,0.166666666666667,0.1,0.166666666666667,0,"PHY105M","Control","Woman","SD","1stGen"
"500",0,0.0666666666666667,0.5,-0.0833333333333333,0.1,0.333333333333333,0.5,"PHY105M","Partner Agreements","Man","SD","1stGen"
