                       OLS Regression Results                       
Dep. Variable:   ,Collective_Learning,  R-squared:         ,   0.034
Model:           ,OLS                ,  Adj. R-squared:    ,   0.015
Method:          ,Least Squares      ,  F-statistic:       ,   1.826
Date:            ,Wed, 05 Apr 2023   ,  Prob (F-statistic):,0.0936  
Time:            ,09:17:13           ,  Log-Likelihood:    , -24.734
No. Observations:,   319             ,  AIC:               ,   63.47
Df Residuals:    ,   312             ,  BIC:               ,   89.82
Df Model:        ,     6             ,                     ,        
Covariance Type: ,nonrobust          ,                     ,        
                                                                              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
Intercept                                                                     ,    0.5324,    0.024,   22.250, 0.000,    0.485,    0.580
C(Gender_C, Treatment(reference='Female'))[T.Male]                            ,   -0.0421,    0.032,   -1.337, 0.182,   -0.104,    0.020
C(Gender_C, Treatment(reference='Female'))[T.Other]                           ,   -0.2158,    0.082,   -2.627, 0.009,   -0.377,   -0.054
C(Gender_C, Treatment(reference='Female'))[T.Prefer not to disclose]          ,   -0.1871,    0.145,   -1.293, 0.197,   -0.472,    0.098
C(Raceethnicity_C, Treatment(reference='Wellrepresented'))[T.Underrepresented],    0.0296,    0.032,    0.936, 0.350,   -0.033,    0.092
C(Education_C, Treatment(reference='Not1stGen'))[T.1stGen]                    ,   -0.0201,    0.036,   -0.559, 0.577,   -0.091,    0.051
C(Education_C, Treatment(reference='Not1stGen'))[T.Prefer not to answer]      ,   -0.0326,    0.110,   -0.295, 0.768,   -0.250,    0.185
Omnibus:      , 4.889,  Durbin-Watson:     ,   1.812
Prob(Omnibus):, 0.087,  Jarque-Bera (JB):  ,   4.900
Skew:         ,-0.274,  Prob(JB):          ,  0.0863
Kurtosis:     , 2.739,  Cond. No.          ,    12.5

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
